---------------------------
|         n |  n log_2(n) |
|       416 |    3619.4 |
|       417 |    3629.5 |
|       418 |    3639.7 |
|       419 |    3649.8 |
|       420 |    3660.0 |
|       421 |    3670.1 |
|       422 |    3680.3 |
|       423 |    3690.5 |
|       424 |    3700.6 |
|       425 |    3710.8 |
|       426 |    3721.0 |
|       427 |    3731.2 |
|       428 |    3741.3 |
|       429 |    3751.5 |
|       430 |    3761.7 |
|       431 |    3771.9 |
|       432 |    3782.1 |
|       433 |    3792.3 |
|       434 |    3802.5 |
|       435 |    3812.7 |
|       436 |    3822.9 |
|       437 |    3833.1 |
|       438 |    3843.4 |
|       439 |    3853.6 |
|       440 |    3863.8 |
|       441 |    3874.0 |
|       442 |    3884.3 |
|       443 |    3894.5 |
|       444 |    3904.7 |
|       445 |    3915.0 |
|       446 |    3925.2 |
|       447 |    3935.4 |
|       448 |    3945.7 |
|       449 |    3955.9 |
|       450 |    3966.2 |
|       451 |    3976.5 |
|       452 |    3986.7 |
|       453 |    3997.0 |
|       454 |    4007.3 |
|       455 |    4017.5 |
|       456 |    4027.8 |
|       457 |    4038.1 |
|       458 |    4048.4 |
|       459 |    4058.6 |
|       460 |    4068.9 |
|       461 |    4079.2 |
|       462 |    4089.5 |
|       463 |    4099.8 |
|       464 |    4110.1 |
|       465 |    4120.4 |
|       466 |    4130.7 |
|       467 |    4141.0 |
|       468 |    4151.3 |
|       469 |    4161.6 |
|       470 |    4172.0 |
|       471 |    4182.3 |
|       472 |    4192.6 |
|       473 |    4202.9 |
|       474 |    4213.3 |
|       475 |    4223.6 |
|       476 |    4233.9 |
|       477 |    4244.3 |
|       478 |    4254.6 |
|       479 |    4265.0 |
|       480 |    4275.3 |
|       481 |    4285.7 |
|       482 |    4296.0 |
|       483 |    4306.4 |
|       484 |    4316.7 |
|       485 |    4327.1 |
|       486 |    4337.5 |
|       487 |    4347.8 |
|       488 |    4358.2 |
|       489 |    4368.6 |
|       490 |    4379.0 |
|       491 |    4389.3 |
|       492 |    4399.7 |
|       493 |    4410.1 |
|       494 |    4420.5 |
|       495 |    4430.9 |
|       496 |    4441.3 |
|       497 |    4451.7 |
|       498 |    4462.1 |
|       499 |    4472.5 |
|       500 |    4482.9 |
|       501 |    4493.3 |
|       502 |    4503.7 |
|       503 |    4514.1 |
|       504 |    4524.5 |
|       505 |    4535.0 |
|       506 |    4545.4 |
|       507 |    4555.8 |
|       508 |    4566.3 |
|       509 |    4576.7 |
|       510 |    4587.1 |
|       511 |    4597.6 |
|       512 |    4608.0 |
|       513 |    4618.4 |
|       514 |    4628.9 |
|       515 |    4639.3 |
|       516 |    4649.8 |
|       517 |    4660.2 |
|       518 |    4670.7 |
|       519 |    4681.2 |
|       520 |    4691.6 |
|       521 |    4702.1 |
|       522 |    4712.6 |
|       523 |    4723.0 |
|       524 |    4733.5 |
|       525 |    4744.0 |
|       526 |    4754.5 |
|       527 |    4765.0 |
|       528 |    4775.4 |
|       529 |    4785.9 |
|       530 |    4796.4 |
|       531 |    4806.9 |
|       532 |    4817.4 |
|       533 |    4827.9 |
|       534 |    4838.4 |
|       535 |    4848.9 |
|       536 |    4859.4 |
|       537 |    4869.9 |
|       538 |    4880.4 |
|       539 |    4891.0 |
|       540 |    4901.5 |
|       541 |    4912.0 |
|       542 |    4922.5 |
|       543 |    4933.1 |
